trial_index,phase,image,cond,correct,stim_dur,resp_deadline,isi,feedback
1,practice,stimuli/B2/ListA/B2_F1_Bedroom_A.png,warmup,,1.0,0.0,0.25,0
2,practice,stimuli/B2/ListA/B2_F1_Bedroom_A.png,same,same,1.0,2.5,0.25,1
3,practice,stimuli/B2/ListA/B2_F1_Bedroom_B.png,similar,similar,1.0,2.5,0.25,1
4,practice,stimuli/B2/ListA/B2_F2_Kitchen_A.png,different,different,1.0,2.5,0.25,1
5,practice,stimuli/B2/ListA/B2_F3_Hallway_A.png,different,different,1.0,2.5,0.25,1
6,main,stimuli/B2/ListA/B2_F1_Bedroom_A.png,warmup,,1.0,0.0,0.25,0
7,main,stimuli/B2/ListA/B2_F1_Bedroom_B.png,similar,similar,1.0,2.5,0.25,0
8,main,stimuli/B2/ListA/B2_F1_Bedroom_B.png,same,same,1.0,2.5,0.25,0
9,main,stimuli/B2/ListA/B2_F2_Kitchen_A.png,different,different,1.0,2.5,0.25,0
10,main,stimuli/B2/ListA/B2_F2_Kitchen_B.png,similar,similar,1.0,2.5,0.25,0
11,main,stimuli/B2/ListA/B2_F2_Kitchen_B.png,same,same,1.0,2.5,0.25,0
12,main,stimuli/B2/ListA/B2_F3_Hallway_A.png,different,different,1.0,2.5,0.25,0
13,main,stimuli/B2/ListA/B2_F3_Hallway_B.png,similar,similar,1.0,2.5,0.25,0
14,main,stimuli/B2/ListA/B2_F3_Hallway_B.png,same,same,1.0,2.5,0.25,0
15,main,stimuli/B2/ListA/B2_F4_Dining_A.png,different,different,1.0,2.5,0.25,0
16,main,stimuli/B2/ListA/B2_F4_Dining_B.png,similar,similar,1.0,2.5,0.25,0
17,main,stimuli/B2/ListA/B2_F4_Dining_B.png,same,same,1.0,2.5,0.25,0
18,main,stimuli/B2/ListA/B2_F5_Study_A.png,different,different,1.0,2.5,0.25,0
19,main,stimuli/B2/ListA/B2_F5_Study_B.png,similar,similar,1.0,2.5,0.25,0
20,main,stimuli/B2/ListA/B2_F1_Bedroom_A.png,different,different,1.0,2.5,0.25,0
21,main,stimuli/B2/ListA/B2_F1_Bedroom_B.png,similar,similar,1.0,2.5,0.25,0
22,main,stimuli/B2/ListA/B2_F2_Kitchen_A.png,different,different,1.0,2.5,0.25,0
23,main,stimuli/B2/ListA/B2_F2_Kitchen_A.png,same,same,1.0,2.5,0.25,0
24,main,stimuli/B2/ListA/B2_F3_Hallway_A.png,different,different,1.0,2.5,0.25,0
25,main,stimuli/B2/ListA/B2_F3_Hallway_B.png,similar,similar,1.0,2.5,0.25,0
26,main,stimuli/B2/ListA/B2_F3_Hallway_B.png,same,same,1.0,2.5,0.25,0
