trial_index,phase,event,image,lag1_true,opt1,opt2,opt3,correct_opt,stim_dur,resp_deadline,isi,feedback
1,practice,stim,stimuli/B3/ListA/B3_P1_Staircase.png,,,,,,1.0,0.0,0.25,0
2,practice,stim,stimuli/B3/ListA/B3_P2_Closet.png,,,,,,1.0,0.0,0.25,0
3,practice,stim,stimuli/B3/ListA/B3_P3_Pantry.png,,,,,,1.0,0.0,0.25,0
4,practice,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,,,,,,1.0,0.0,0.25,0
5,practice,probe,stimuli/B3/ListA/cue.png,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,stimuli/B3/ListA/B3_P2_Closet.png,stimuli/B3/ListA/B3_P7_HomeGym.png,1,0.8,3.0,0.25,1
6,practice,stim,stimuli/B3/ListA/B3_P6_MusicRoom.png,,,,,,1.0,0.0,0.25,0
7,practice,stim,stimuli/B3/ListA/B3_P4_GarageCorner.png,,,,,,1.0,0.0,0.25,0
8,practice,stim,stimuli/B3/ListA/B3_P7_HomeGym.png,,,,,,1.0,0.0,0.25,0
9,practice,probe,stimuli/B3/ListA/cue.png,stimuli/B3/ListA/B3_P7_HomeGym.png,stimuli/B3/ListA/B3_P6_MusicRoom.png,stimuli/B3/ListA/B3_P7_HomeGym.png,stimuli/B3/ListA/B3_P3_Pantry.png,2,0.8,3.0,0.25,1
10,main,stim,stimuli/B3/ListA/B3_P4_GarageCorner.png,,,,,,1.0,0.0,0.25,0
11,main,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,,,,,,1.0,0.0,0.25,0
12,main,stim,stimuli/B3/ListA/B3_P1_Staircase.png,,,,,,1.0,0.0,0.25,0
13,main,stim,stimuli/B3/ListA/B3_P6_MusicRoom.png,,,,,,1.0,0.0,0.25,0
14,main,probe,stimuli/B3/ListA/cue.png,stimuli/B3/ListA/B3_P6_MusicRoom.png,stimuli/B3/ListA/B3_P1_Staircase.png,stimuli/B3/ListA/B3_P6_MusicRoom.png,stimuli/B3/ListA/B3_P4_GarageCorner.png,2,0.7,3.0,0.35,0
15,main,stim,stimuli/B3/ListA/B3_P2_Closet.png,,,,,,1.0,0.0,0.25,0
16,main,stim,stimuli/B3/ListA/B3_P7_HomeGym.png,,,,,,1.0,0.0,0.25,0
17,main,stim,stimuli/B3/ListA/B3_P3_Pantry.png,,,,,,1.0,0.0,0.25,0
18,main,probe,stimuli/B3/ListA/cue.png,stimuli/B3/ListA/B3_P3_Pantry.png,stimuli/B3/ListA/B3_P3_Pantry.png,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,stimuli/B3/ListA/B3_P7_HomeGym.png,1,0.7,3.0,0.35,0
19,main,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,,,,,,1.0,0.0,0.25,0
20,main,stim,stimuli/B3/ListA/B3_P6_MusicRoom.png,,,,,,1.0,0.0,0.25,0
21,main,stim,stimuli/B3/ListA/B3_P1_Staircase.png,,,,,,1.0,0.0,0.25,0
22,main,stim,stimuli/B3/ListA/B3_P4_GarageCorner.png,,,,,,1.0,0.0,0.25,0
23,main,stim,stimuli/B3/ListA/B3_P2_Closet.png,,,,,,1.0,0.0,0.25,0
24,main,probe,stimuli/B3/ListA/cue.png,stimuli/B3/ListA/B3_P2_Closet.png,stimuli/B3/ListA/B3_P6_MusicRoom.png,stimuli/B3/ListA/B3_P1_Staircase.png,stimuli/B3/ListA/B3_P2_Closet.png,3,0.7,3.0,0.35,0
25,main,stim,stimuli/B3/ListA/B3_P7_HomeGym.png,,,,,,1.0,0.0,0.25,0
26,main,stim,stimuli/B3/ListA/B3_P3_Pantry.png,,,,,,1.0,0.0,0.25,0
27,main,stim,stimuli/B3/ListA/B3_P6_MusicRoom.png,,,,,,1.0,0.0,0.25,0
28,main,probe,stimuli/B3/ListA/cue.png,stimuli/B3/ListA/B3_P6_MusicRoom.png,stimuli/B3/ListA/B3_P4_GarageCorner.png,stimuli/B3/ListA/B3_P7_HomeGym.png,stimuli/B3/ListA/B3_P6_MusicRoom.png,3,0.7,3.0,0.35,0
29,main,stim,stimuli/B3/ListA/B3_P1_Staircase.png,,,,,,1.0,0.0,0.25,0
30,main,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,,,,,,1.0,0.0,0.25,0
31,main,stim,stimuli/B3/ListA/B3_P4_GarageCorner.png,,,,,,1.0,0.0,0.25,0
32,main,stim,stimuli/B3/ListA/B3_P7_HomeGym.png,,,,,,1.0,0.0,0.25,0
33,main,probe,stimuli/B3/ListA/cue.png,stimuli/B3/ListA/B3_P7_HomeGym.png,stimuli/B3/ListA/B3_P7_HomeGym.png,stimuli/B3/ListA/B3_P2_Closet.png,stimuli/B3/ListA/B3_P5_SunroomBalcony.png,1,0.7,3.0,0.35,0
