path,size_bytes,category,note
web-battery/stimuli/README.md,873,当前刺激材料,
web-battery/stimuli/flanker/congruent/y.webp,5026,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent/z.webp,4992,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/3a.webp,5698,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/4a.webp,5914,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/5a.webp,5996,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/6a.webp,5796,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/7a.webp,5892,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/b6.webp,5918,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/d3.webp,5908,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/d4.webp,5746,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/d5.webp,5790,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/congruent-pop/d6.webp,5788,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent/a1.webp,4956,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent/a2.webp,4906,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Y1.webp,5822,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Y2.webp,5770,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Y3.webp,5780,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Y4.webp,5926,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Y5.webp,5702,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Z1.webp,5948,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Z2.webp,5916,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Z3.webp,5870,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Z4.webp,5862,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/incongruent-pop/Z5.webp,5928,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/neutral/c1.webp,1546,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/neutral/c2.webp,1566,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/neutral-pop/c3.webp,2168,当前刺激材料,压缩/轻量版本
web-battery/stimuli/flanker/neutral-pop/c4.webp,2284,当前刺激材料,压缩/轻量版本
web-battery/stimuli/hero.webp,120360,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D1_Bedroom.webp,45646,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D2_Kitchen.webp,55498,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D3_Bathroom.webp,39748,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D4_Hallway.webp,27156,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D5_Study.webp,47412,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D6_Dining.webp,44688,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D7_Laundry.webp,42046,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_D8_Entryway.webp,46182,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_S1_AddBigBlanket.webp,56034,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_S2_AddLargePlant.webp,62456,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_S3_CurtainsHalfClosed.webp,54462,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/ListA/B1_T_LivingRoom_Base.webp,71172,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B1/Practice/B1_Prac_S1_BlueCushions.webp,237424,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F1_Bedroom_A.webp,65940,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F1_Bedroom_B.webp,54384,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F2_Kitchen_A.webp,38994,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F2_Kitchen_B.webp,39518,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F3_Hallway_A.webp,38198,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F3_Hallway_B.webp,50530,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F4_Dining_A.webp,68378,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F4_Dining_B.webp,74304,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F5_Study_A.webp,57488,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/ListA/B2_F5_Study_B.webp,70102,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/Practice/B2_Prac_F1_LivingRoom_A.webp,213782,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B2/Practice/B2_Prac_F1_LivingRoom_B.webp,226824,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/B3_P1_Staircase.webp,76622,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/B3_P2_Closet.webp,73020,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/B3_P3_Pantry.webp,106794,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/B3_P4_GarageCorner.webp,98994,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/B3_P5_SunroomBalcony.webp,71260,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/B3_P6_MusicRoom.webp,57130,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/B3_P7_HomeGym.webp,59482,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/ListA/cue.webp,49920,当前刺激材料,压缩/轻量版本
web-battery/stimuli/nback/B3/Practice/B3_Prac_P1_Bathroom.webp,150604,当前刺激材料,压缩/轻量版本
