trial_index,phase,image,cond,correct,stim_dur,resp_deadline,isi,feedback
1,practice,stimuli/B1/ListA/B1_T_LivingRoom_Base.webp,same,same,1.0,4.0,0.45,1
2,practice,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.webp,similar,similar,1.0,4.0,0.45,1
3,practice,stimuli/B1/ListA/B1_D2_Kitchen.webp,different,different,1.0,4.0,0.45,1
4,practice,stimuli/B1/ListA/B1_D6_Dining.webp,different,different,1.0,4.0,0.45,1
5,main,stimuli/B1/ListA/B1_S1_AddBigBlanket.webp,similar,similar,1.0,4.0,0.45,0
6,main,stimuli/B1/ListA/B1_D1_Bedroom.webp,different,different,1.0,4.0,0.45,0
7,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.webp,same,same,1.0,4.0,0.45,0
8,main,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.webp,similar,similar,1.0,4.0,0.45,0
9,main,stimuli/B1/ListA/B1_D3_Bathroom.webp,different,different,1.0,4.0,0.45,0
10,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.webp,same,same,1.0,4.0,0.45,0
11,main,stimuli/B1/ListA/B1_S2_AddLargePlant.webp,similar,similar,1.0,4.0,0.45,0
12,main,stimuli/B1/ListA/B1_D8_Entryway.webp,different,different,1.0,4.0,0.45,0
13,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.webp,same,same,1.0,4.0,0.45,0
14,main,stimuli/B1/ListA/B1_D4_Hallway.webp,different,different,1.0,4.0,0.45,0
15,main,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.webp,similar,similar,1.0,4.0,0.45,0
16,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.webp,same,same,1.0,4.0,0.45,0
17,main,stimuli/B1/ListA/B1_S1_AddBigBlanket.webp,similar,similar,1.0,4.0,0.45,0
18,main,stimuli/B1/ListA/B1_D7_Laundry.webp,different,different,1.0,4.0,0.45,0
19,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.webp,same,same,1.0,4.0,0.45,0
20,main,stimuli/B1/ListA/B1_S2_AddLargePlant.webp,similar,similar,1.0,4.0,0.45,0
21,main,stimuli/B1/ListA/B1_D5_Study.webp,different,different,1.0,4.0,0.45,0
22,main,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.webp,similar,similar,1.0,4.0,0.45,0
23,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.webp,same,same,1.0,4.0,0.45,0
24,main,stimuli/B1/ListA/B1_D6_Dining.webp,different,different,1.0,4.0,0.45,0
