trial_index,phase,event,image,lag1_true,opt1,opt2,opt3,correct_opt,stim_dur,resp_deadline,isi,feedback
1,practice,stim,stimuli/B3/ListA/B3_P1_Staircase.webp,,,,,,1.5,0.0,0.45,0
2,practice,stim,stimuli/B3/ListA/B3_P2_Closet.webp,,,,,,1.5,0.0,0.45,0
3,practice,stim,stimuli/B3/ListA/B3_P3_Pantry.webp,,,,,,1.5,0.0,0.45,0
4,practice,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,,,,,,1.5,0.0,0.45,0
5,practice,probe,stimuli/B3/ListA/cue.webp,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,stimuli/B3/ListA/B3_P2_Closet.webp,stimuli/B3/ListA/B3_P7_HomeGym.webp,1,0.8,4.0,0.45,1
6,practice,stim,stimuli/B3/ListA/B3_P6_MusicRoom.webp,,,,,,1.5,0.0,0.45,0
7,practice,stim,stimuli/B3/ListA/B3_P4_GarageCorner.webp,,,,,,1.5,0.0,0.45,0
8,practice,stim,stimuli/B3/ListA/B3_P7_HomeGym.webp,,,,,,1.5,0.0,0.45,0
9,practice,probe,stimuli/B3/ListA/cue.webp,stimuli/B3/ListA/B3_P7_HomeGym.webp,stimuli/B3/ListA/B3_P6_MusicRoom.webp,stimuli/B3/ListA/B3_P7_HomeGym.webp,stimuli/B3/ListA/B3_P3_Pantry.webp,2,0.8,4.0,0.45,1
10,main,stim,stimuli/B3/ListA/B3_P4_GarageCorner.webp,,,,,,1.5,0.0,0.45,0
11,main,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,,,,,,1.5,0.0,0.45,0
12,main,stim,stimuli/B3/ListA/B3_P1_Staircase.webp,,,,,,1.5,0.0,0.45,0
13,main,stim,stimuli/B3/ListA/B3_P6_MusicRoom.webp,,,,,,1.5,0.0,0.45,0
14,main,probe,stimuli/B3/ListA/cue.webp,stimuli/B3/ListA/B3_P6_MusicRoom.webp,stimuli/B3/ListA/B3_P1_Staircase.webp,stimuli/B3/ListA/B3_P6_MusicRoom.webp,stimuli/B3/ListA/B3_P4_GarageCorner.webp,2,0.7,4.0,0.45,0
15,main,stim,stimuli/B3/ListA/B3_P2_Closet.webp,,,,,,1.5,0.0,0.45,0
16,main,stim,stimuli/B3/ListA/B3_P7_HomeGym.webp,,,,,,1.5,0.0,0.45,0
17,main,stim,stimuli/B3/ListA/B3_P3_Pantry.webp,,,,,,1.5,0.0,0.45,0
18,main,probe,stimuli/B3/ListA/cue.webp,stimuli/B3/ListA/B3_P3_Pantry.webp,stimuli/B3/ListA/B3_P3_Pantry.webp,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,stimuli/B3/ListA/B3_P7_HomeGym.webp,1,0.7,4.0,0.45,0
19,main,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,,,,,,1.5,0.0,0.45,0
20,main,stim,stimuli/B3/ListA/B3_P6_MusicRoom.webp,,,,,,1.5,0.0,0.45,0
21,main,stim,stimuli/B3/ListA/B3_P1_Staircase.webp,,,,,,1.5,0.0,0.45,0
22,main,stim,stimuli/B3/ListA/B3_P4_GarageCorner.webp,,,,,,1.5,0.0,0.45,0
23,main,stim,stimuli/B3/ListA/B3_P2_Closet.webp,,,,,,1.5,0.0,0.45,0
24,main,probe,stimuli/B3/ListA/cue.webp,stimuli/B3/ListA/B3_P2_Closet.webp,stimuli/B3/ListA/B3_P6_MusicRoom.webp,stimuli/B3/ListA/B3_P1_Staircase.webp,stimuli/B3/ListA/B3_P2_Closet.webp,3,0.7,4.0,0.45,0
25,main,stim,stimuli/B3/ListA/B3_P7_HomeGym.webp,,,,,,1.5,0.0,0.45,0
26,main,stim,stimuli/B3/ListA/B3_P3_Pantry.webp,,,,,,1.5,0.0,0.45,0
27,main,stim,stimuli/B3/ListA/B3_P6_MusicRoom.webp,,,,,,1.5,0.0,0.45,0
28,main,probe,stimuli/B3/ListA/cue.webp,stimuli/B3/ListA/B3_P6_MusicRoom.webp,stimuli/B3/ListA/B3_P4_GarageCorner.webp,stimuli/B3/ListA/B3_P7_HomeGym.webp,stimuli/B3/ListA/B3_P6_MusicRoom.webp,3,0.7,4.0,0.45,0
29,main,stim,stimuli/B3/ListA/B3_P1_Staircase.webp,,,,,,1.5,0.0,0.45,0
30,main,stim,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,,,,,,1.5,0.0,0.45,0
31,main,stim,stimuli/B3/ListA/B3_P4_GarageCorner.webp,,,,,,1.5,0.0,0.45,0
32,main,stim,stimuli/B3/ListA/B3_P7_HomeGym.webp,,,,,,1.5,0.0,0.45,0
33,main,probe,stimuli/B3/ListA/cue.webp,stimuli/B3/ListA/B3_P7_HomeGym.webp,stimuli/B3/ListA/B3_P7_HomeGym.webp,stimuli/B3/ListA/B3_P2_Closet.webp,stimuli/B3/ListA/B3_P5_SunroomBalcony.webp,1,0.7,4.0,0.45,0
