trial_index,phase,n,image,cond,correct,stim_dur,resp_deadline,isi,feedback
1,practice,2,stimuli/B4/ListA/B4_01_LivingRoom2.webp,warmup,na,1.0,0.0,0.45,0
2,practice,2,stimuli/B4/ListA/B4_02_Bedroom2.webp,warmup,na,1.0,0.0,0.45,0
3,practice,2,stimuli/B4/ListA/B4_01_LivingRoom2.webp,target,press,1.0,4.0,0.45,1
4,practice,2,stimuli/B4/ListA/B4_03_Kitchen2.webp,foil,none,1.0,4.0,0.45,1
5,practice,2,stimuli/B4/ListA/B4_01_LivingRoom2.webp,target,press,1.0,4.0,0.45,1
6,practice,2,stimuli/B4/ListA/B4_04_Bathroom2.webp,foil,none,1.0,4.0,0.45,1
7,main,2,stimuli/B4/ListA/B4_01_LivingRoom2.webp,warmup,na,1.0,0.0,0.45,0
8,main,2,stimuli/B4/ListA/B4_02_Bedroom2.webp,warmup,na,1.0,0.0,0.45,0
9,main,2,stimuli/B4/ListA/B4_03_Kitchen2.webp,foil,none,1.0,4.0,0.45,0
10,main,2,stimuli/B4/ListA/B4_05_Hallway2.webp,foil,none,1.0,4.0,0.45,0
11,main,2,stimuli/B4/ListA/B4_03_Kitchen2.webp,target,press,1.0,4.0,0.45,0
12,main,2,stimuli/B4/ListA/B4_04_Bathroom2.webp,foil,none,1.0,4.0,0.45,0
13,main,2,stimuli/B4/ListA/B4_06_Dining2.webp,foil,none,1.0,4.0,0.45,0
14,main,2,stimuli/B4/ListA/B4_04_Bathroom2.webp,target,press,1.0,4.0,0.45,0
15,main,2,stimuli/B4/ListA/B4_07_Study2.webp,foil,none,1.0,4.0,0.45,0
16,main,2,stimuli/B4/ListA/B4_08_Laundry2.webp,foil,none,1.0,4.0,0.45,0
17,main,2,stimuli/B4/ListA/B4_07_Study2.webp,target,press,1.0,4.0,0.45,0
18,main,2,stimuli/B4/ListA/B4_09_Entryway2.webp,foil,none,1.0,4.0,0.45,0
19,main,2,stimuli/B4/ListA/B4_01_LivingRoom2.webp,foil,none,1.0,4.0,0.45,0
20,main,2,stimuli/B4/ListA/B4_09_Entryway2.webp,target,press,1.0,4.0,0.45,0
21,main,2,stimuli/B4/ListA/B4_02_Bedroom2.webp,foil,none,1.0,4.0,0.45,0
22,main,2,stimuli/B4/ListA/B4_03_Kitchen2.webp,foil,none,1.0,4.0,0.45,0
23,main,2,stimuli/B4/ListA/B4_02_Bedroom2.webp,target,press,1.0,4.0,0.45,0
24,main,2,stimuli/B4/ListA/B4_05_Hallway2.webp,foil,none,1.0,4.0,0.45,0
25,main,2,stimuli/B4/ListA/B4_06_Dining2.webp,foil,none,1.0,4.0,0.45,0
26,main,2,stimuli/B4/ListA/B4_05_Hallway2.webp,target,press,1.0,4.0,0.45,0
27,main,2,stimuli/B4/ListA/B4_04_Bathroom2.webp,foil,none,1.0,4.0,0.45,0
28,main,2,stimuli/B4/ListA/B4_08_Laundry2.webp,foil,none,1.0,4.0,0.45,0
